value_stream,process_step,step_number,total_steps,step_percentage,cycle_time_hours,exceptions_count,rework_required_pct,data_quality_score,automation_level_pct,primary_system,process_health,optimization_opportunity,gmp_relevant
Order to Cash (O2C),Order Receipt,1,7,14.3,5.21,1,9.3,0.734,75.9,SAP S/4HANA,Yellow,System Integration,No
Order to Cash (O2C),Order Receipt,1,7,14.3,1.65,1,23.2,0.92,17.5,Legacy System,Green,Improve Data Quality,No
Order to Cash (O2C),Order Receipt,1,7,14.3,7.26,5,14.9,0.756,99.4,SAP S/4HANA,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Order Receipt,1,7,14.3,0.77,2,32.8,0.786,84.2,Cloud Platform,Green,Exception Handling,No
Order to Cash (O2C),Order Receipt,1,7,14.3,2.51,0,9.9,0.816,63.0,SAP ECC,Yellow,Exception Handling,No
Order to Cash (O2C),Order Receipt,1,7,14.3,3.02,0,13.4,0.977,76.7,Legacy System,Red,Automate Manual Steps,No
Order to Cash (O2C),Order Receipt,1,7,14.3,2.77,2,3.6,0.828,72.1,SAP ECC,Green,System Integration,No
Order to Cash (O2C),Order Receipt,1,7,14.3,0.1,2,10.4,0.909,74.3,SAP S/4HANA,Red,Improve Data Quality,No
Order to Cash (O2C),Order Receipt,1,7,14.3,2.93,0,22.7,0.988,76.9,SAP ECC,Green,Exception Handling,No
Order to Cash (O2C),Order Receipt,1,7,14.3,2.33,3,24.5,0.857,63.4,Legacy System,Red,Improve Data Quality,No
Order to Cash (O2C),Order Receipt,1,7,14.3,0.29,5,26.0,0.784,88.9,SAP ECC,Green,System Integration,No
Order to Cash (O2C),Order Receipt,1,7,14.3,2.05,3,19.1,0.976,36.5,SAP ECC,Green,Exception Handling,No
Order to Cash (O2C),Order Receipt,1,7,14.3,12.34,0,16.9,0.851,81.2,Cloud Platform,Green,System Integration,No
Order to Cash (O2C),Order Receipt,1,7,14.3,0.71,2,6.1,0.858,35.0,SAP S/4HANA,Green,Process Streamlining,No
Order to Cash (O2C),Order Receipt,1,7,14.3,1.74,1,3.8,0.981,28.0,SAP S/4HANA,Yellow,Exception Handling,No
Order to Cash (O2C),Availability Check,2,7,28.6,1.28,1,33.6,0.868,68.6,SAP S/4HANA,Yellow,Process Streamlining,No
Order to Cash (O2C),Availability Check,2,7,28.6,16.37,2,5.8,0.672,81.9,SAP S/4HANA,Green,Automate Manual Steps,No
Order to Cash (O2C),Availability Check,2,7,28.6,5.73,1,4.8,0.707,42.7,SAP ECC,Red,System Integration,No
Order to Cash (O2C),Availability Check,2,7,28.6,21.49,1,23.7,0.911,39.4,Legacy System,Yellow,Improve Data Quality,No
Order to Cash (O2C),Availability Check,2,7,28.6,1.42,3,5.1,0.878,66.8,Cloud Platform,Red,Automate Manual Steps,No
Order to Cash (O2C),Availability Check,2,7,28.6,1.04,2,47.4,0.746,40.0,Cloud Platform,Red,Automate Manual Steps,No
Order to Cash (O2C),Availability Check,2,7,28.6,0.28,3,5.0,0.725,66.4,SAP S/4HANA,Red,Process Streamlining,No
Order to Cash (O2C),Availability Check,2,7,28.6,1.13,2,33.7,0.835,5.3,Legacy System,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Availability Check,2,7,28.6,3.82,0,4.8,0.896,83.4,Legacy System,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Availability Check,2,7,28.6,1.48,2,4.3,0.805,29.7,Legacy System,Red,Process Streamlining,No
Order to Cash (O2C),Availability Check,2,7,28.6,0.12,1,20.9,0.822,1.9,SAP ECC,Yellow,Exception Handling,No
Order to Cash (O2C),Availability Check,2,7,28.6,4.91,1,9.6,0.983,59.0,Legacy System,Red,System Integration,No
Order to Cash (O2C),Availability Check,2,7,28.6,10.87,5,21.9,0.717,65.4,SAP S/4HANA,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Availability Check,2,7,28.6,0.04,0,16.4,0.923,55.8,SAP ECC,Green,Exception Handling,No
Order to Cash (O2C),Availability Check,2,7,28.6,1.17,1,10.3,0.866,86.8,SAP ECC,Green,System Integration,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,3.87,1,8.5,0.603,63.4,Legacy System,Yellow,System Integration,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,0.27,2,35.0,0.544,29.7,SAP S/4HANA,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,12.54,0,18.6,0.769,76.3,SAP ECC,Red,Improve Data Quality,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,1.19,2,26.0,0.801,96.3,Cloud Platform,Yellow,Process Streamlining,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,2.01,2,17.4,0.865,39.3,Cloud Platform,Red,System Integration,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,7.0,1,29.6,0.955,27.9,SAP ECC,Green,Automate Manual Steps,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,32.16,2,18.3,0.953,98.8,SAP ECC,Yellow,Process Streamlining,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,3.06,1,21.9,0.934,94.3,Cloud Platform,Red,Improve Data Quality,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,2.57,3,27.8,0.846,35.5,SAP ECC,Red,Improve Data Quality,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,0.23,4,11.8,0.806,70.9,SAP S/4HANA,Yellow,Exception Handling,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,5.66,3,36.4,0.653,64.5,SAP S/4HANA,Yellow,Improve Data Quality,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,6.33,2,3.3,0.857,76.1,SAP ECC,Green,Exception Handling,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,8.92,1,2.5,0.977,80.8,Cloud Platform,Red,Automate Manual Steps,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,5.88,2,15.9,0.817,51.0,SAP ECC,Yellow,System Integration,No
Order to Cash (O2C),Order Fulfillment,3,7,42.9,2.24,3,16.1,0.678,25.8,SAP ECC,Yellow,Process Streamlining,No
Order to Cash (O2C),Shipment,4,7,57.1,10.24,0,14.6,0.846,83.8,Cloud Platform,Green,Exception Handling,No
Order to Cash (O2C),Shipment,4,7,57.1,3.87,3,13.6,0.918,60.2,SAP ECC,Green,Process Streamlining,No
Order to Cash (O2C),Shipment,4,7,57.1,1.7,1,2.5,0.774,12.3,SAP ECC,Green,Improve Data Quality,No
Order to Cash (O2C),Shipment,4,7,57.1,3.46,3,46.1,0.94,76.2,Legacy System,Yellow,System Integration,No
Order to Cash (O2C),Shipment,4,7,57.1,2.24,0,23.8,0.869,4.4,SAP S/4HANA,Green,Process Streamlining,No
Order to Cash (O2C),Shipment,4,7,57.1,4.37,2,9.9,0.55,19.8,SAP S/4HANA,Yellow,Improve Data Quality,No
Order to Cash (O2C),Shipment,4,7,57.1,16.57,2,12.9,0.899,4.5,Cloud Platform,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Shipment,4,7,57.1,1.47,0,61.0,0.892,1.6,SAP ECC,Red,Automate Manual Steps,No
Order to Cash (O2C),Shipment,4,7,57.1,3.08,2,15.6,0.662,1.9,SAP S/4HANA,Red,Automate Manual Steps,No
Order to Cash (O2C),Shipment,4,7,57.1,43.77,2,27.5,0.693,92.9,SAP ECC,Yellow,Exception Handling,No
Order to Cash (O2C),Shipment,4,7,57.1,4.91,4,12.6,0.816,86.8,Cloud Platform,Green,Process Streamlining,No
Order to Cash (O2C),Shipment,4,7,57.1,4.85,0,44.1,0.911,70.7,SAP ECC,Yellow,Improve Data Quality,No
Order to Cash (O2C),Shipment,4,7,57.1,17.88,4,46.3,0.952,97.5,Cloud Platform,Red,Process Streamlining,No
Order to Cash (O2C),Shipment,4,7,57.1,4.88,1,9.5,0.847,58.7,Legacy System,Yellow,Process Streamlining,No
Order to Cash (O2C),Shipment,4,7,57.1,7.17,1,37.8,0.664,71.5,SAP S/4HANA,Red,Process Streamlining,No
Order to Cash (O2C),Delivery,5,7,71.4,4.85,3,54.7,0.931,58.7,SAP S/4HANA,Green,System Integration,No
Order to Cash (O2C),Delivery,5,7,71.4,4.81,2,17.0,0.763,63.4,SAP S/4HANA,Red,Exception Handling,No
Order to Cash (O2C),Delivery,5,7,71.4,3.71,1,44.0,0.781,92.5,Cloud Platform,Green,System Integration,No
Order to Cash (O2C),Delivery,5,7,71.4,21.9,4,12.7,0.796,58.5,SAP ECC,Green,Process Streamlining,No
Order to Cash (O2C),Delivery,5,7,71.4,17.92,5,32.3,0.871,12.0,Legacy System,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Delivery,5,7,71.4,4.82,0,14.7,0.878,24.1,Cloud Platform,Green,Automate Manual Steps,No
Order to Cash (O2C),Delivery,5,7,71.4,2.47,4,17.9,0.894,41.5,Legacy System,Red,Exception Handling,No
Order to Cash (O2C),Delivery,5,7,71.4,23.3,3,26.4,0.922,10.2,SAP ECC,Red,Automate Manual Steps,No
Order to Cash (O2C),Delivery,5,7,71.4,5.35,2,21.5,0.981,51.8,Legacy System,Green,Process Streamlining,No
Order to Cash (O2C),Delivery,5,7,71.4,2.44,3,10.1,0.943,68.4,Legacy System,Red,Improve Data Quality,No
Order to Cash (O2C),Delivery,5,7,71.4,0.08,0,15.7,0.909,13.7,Cloud Platform,Yellow,Exception Handling,No
Order to Cash (O2C),Delivery,5,7,71.4,10.67,4,13.0,0.807,2.8,Cloud Platform,Yellow,System Integration,No
Order to Cash (O2C),Delivery,5,7,71.4,9.51,2,51.3,0.932,3.4,SAP S/4HANA,Green,Improve Data Quality,No
Order to Cash (O2C),Delivery,5,7,71.4,4.62,3,37.6,0.819,8.5,SAP ECC,Green,Automate Manual Steps,No
Order to Cash (O2C),Delivery,5,7,71.4,0.45,0,18.0,0.894,26.3,Legacy System,Yellow,Exception Handling,No
Order to Cash (O2C),Invoicing,6,7,85.7,2.76,3,19.3,0.704,95.8,SAP ECC,Red,Exception Handling,No
Order to Cash (O2C),Invoicing,6,7,85.7,0.12,2,7.0,0.919,2.4,Legacy System,Yellow,System Integration,No
Order to Cash (O2C),Invoicing,6,7,85.7,7.54,3,41.4,0.996,22.6,SAP ECC,Green,Improve Data Quality,No
Order to Cash (O2C),Invoicing,6,7,85.7,0.14,1,22.2,0.669,97.2,SAP ECC,Green,Exception Handling,No
Order to Cash (O2C),Invoicing,6,7,85.7,0.28,1,2.1,0.867,55.4,SAP ECC,Red,Improve Data Quality,No
Order to Cash (O2C),Invoicing,6,7,85.7,3.41,2,29.9,0.893,86.2,Legacy System,Red,Automate Manual Steps,No
Order to Cash (O2C),Invoicing,6,7,85.7,3.39,2,33.0,0.812,95.4,Cloud Platform,Green,Automate Manual Steps,No
Order to Cash (O2C),Invoicing,6,7,85.7,17.81,4,24.1,0.862,51.8,Legacy System,Red,Process Streamlining,No
Order to Cash (O2C),Invoicing,6,7,85.7,1.03,2,32.9,0.916,80.5,SAP ECC,Yellow,Automate Manual Steps,No
Order to Cash (O2C),Invoicing,6,7,85.7,3.82,0,16.9,0.74,42.3,SAP ECC,Green,Automate Manual Steps,No
Order to Cash (O2C),Invoicing,6,7,85.7,10.27,0,33.7,0.739,94.7,SAP S/4HANA,Green,System Integration,No
Order to Cash (O2C),Invoicing,6,7,85.7,2.26,3,36.9,0.688,42.5,SAP ECC,Red,Process Streamlining,No
Order to Cash (O2C),Invoicing,6,7,85.7,3.98,4,15.8,0.73,50.3,SAP ECC,Green,Automate Manual Steps,No
Order to Cash (O2C),Invoicing,6,7,85.7,0.77,8,12.6,0.978,46.7,Legacy System,Green,Automate Manual Steps,No
Order to Cash (O2C),Invoicing,6,7,85.7,0.85,1,39.3,0.891,6.8,SAP ECC,Green,System Integration,No
Order to Cash (O2C),Collection,7,7,100.0,0.07,4,11.3,0.896,0.9,SAP S/4HANA,Red,System Integration,No
Order to Cash (O2C),Collection,7,7,100.0,17.95,2,25.2,0.963,74.0,Legacy System,Green,System Integration,No
Order to Cash (O2C),Collection,7,7,100.0,7.1,0,22.3,0.876,94.5,SAP S/4HANA,Yellow,Improve Data Quality,No
Order to Cash (O2C),Collection,7,7,100.0,4.16,2,16.7,0.633,62.5,Cloud Platform,Yellow,System Integration,No
Order to Cash (O2C),Collection,7,7,100.0,8.8,3,21.3,0.876,1.7,SAP ECC,Red,Process Streamlining,No
Order to Cash (O2C),Collection,7,7,100.0,6.86,3,4.5,0.702,70.1,Cloud Platform,Yellow,System Integration,No
Order to Cash (O2C),Collection,7,7,100.0,12.76,0,12.6,0.899,35.0,SAP ECC,Green,Exception Handling,No
Order to Cash (O2C),Collection,7,7,100.0,22.44,2,26.4,0.992,79.0,SAP S/4HANA,Yellow,Improve Data Quality,No
Order to Cash (O2C),Collection,7,7,100.0,2.59,2,17.0,0.596,84.9,SAP ECC,Yellow,Exception Handling,No
Order to Cash (O2C),Collection,7,7,100.0,36.31,1,9.8,0.909,45.2,Legacy System,Yellow,Process Streamlining,No
Order to Cash (O2C),Collection,7,7,100.0,0.13,5,14.9,0.518,30.4,Legacy System,Yellow,Improve Data Quality,No
Order to Cash (O2C),Collection,7,7,100.0,1.56,1,53.7,0.914,17.9,Cloud Platform,Red,Improve Data Quality,No
Order to Cash (O2C),Collection,7,7,100.0,0.0,6,8.9,0.879,6.3,Cloud Platform,Green,System Integration,No
Order to Cash (O2C),Collection,7,7,100.0,4.42,0,41.6,0.835,15.4,SAP S/4HANA,Green,Automate Manual Steps,No
Order to Cash (O2C),Collection,7,7,100.0,3.83,1,14.1,0.493,56.0,SAP S/4HANA,Yellow,Process Streamlining,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,0.89,0,4.6,0.957,45.4,SAP S/4HANA,Red,System Integration,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,1.91,2,11.4,0.785,1.6,SAP S/4HANA,Green,Improve Data Quality,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,4.9,0,25.1,0.612,62.1,Cloud Platform,Red,Automate Manual Steps,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,19.88,3,27.4,0.948,40.3,SAP S/4HANA,Red,Improve Data Quality,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,5.62,1,12.2,0.879,82.8,Cloud Platform,Green,System Integration,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,7.88,1,24.9,0.949,84.9,SAP ECC,Green,Improve Data Quality,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,0.2,4,16.3,0.919,11.5,SAP ECC,Red,System Integration,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,9.59,2,30.1,0.649,90.0,Cloud Platform,Red,Improve Data Quality,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,1.34,1,28.4,0.946,57.2,Cloud Platform,Red,Improve Data Quality,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,0.81,1,7.2,0.923,39.1,SAP ECC,Green,Improve Data Quality,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,0.38,2,22.4,0.979,38.6,SAP ECC,Red,Exception Handling,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,1.51,3,31.3,0.65,87.4,Cloud Platform,Red,System Integration,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,2.55,3,19.0,0.911,27.8,Cloud Platform,Yellow,Exception Handling,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,0.4,1,5.0,0.873,24.1,SAP S/4HANA,Red,System Integration,No
Procure to Pay (P2P),Purchase Requisition,1,7,14.3,13.83,0,11.7,0.865,50.5,Cloud Platform,Green,Process Streamlining,No
Procure to Pay (P2P),PO Creation,2,7,28.6,2.27,3,20.6,0.707,86.3,SAP S/4HANA,Red,Process Streamlining,No
Procure to Pay (P2P),PO Creation,2,7,28.6,4.31,1,48.7,0.845,84.6,Legacy System,Yellow,Exception Handling,No
Procure to Pay (P2P),PO Creation,2,7,28.6,3.85,2,23.5,0.904,28.4,SAP S/4HANA,Red,Automate Manual Steps,No
Procure to Pay (P2P),PO Creation,2,7,28.6,15.84,0,10.9,0.965,64.0,SAP ECC,Green,Process Streamlining,No
Procure to Pay (P2P),PO Creation,2,7,28.6,4.59,0,47.2,0.84,12.1,SAP S/4HANA,Red,Process Streamlining,No
Procure to Pay (P2P),PO Creation,2,7,28.6,0.5,1,7.2,0.689,8.3,Legacy System,Green,Exception Handling,No
Procure to Pay (P2P),PO Creation,2,7,28.6,0.01,0,28.4,0.908,11.1,SAP S/4HANA,Yellow,Exception Handling,No
Procure to Pay (P2P),PO Creation,2,7,28.6,6.68,6,7.4,0.855,30.9,SAP ECC,Red,Exception Handling,No
Procure to Pay (P2P),PO Creation,2,7,28.6,2.11,4,14.5,0.857,0.0,SAP ECC,Yellow,Improve Data Quality,No
Procure to Pay (P2P),PO Creation,2,7,28.6,0.07,3,12.0,0.517,27.6,SAP ECC,Yellow,Exception Handling,No
Procure to Pay (P2P),PO Creation,2,7,28.6,0.96,1,21.4,0.942,47.3,SAP ECC,Green,System Integration,No
Procure to Pay (P2P),PO Creation,2,7,28.6,16.65,1,42.1,0.824,61.4,Legacy System,Green,System Integration,No
Procure to Pay (P2P),PO Creation,2,7,28.6,2.88,3,25.5,0.509,68.8,Legacy System,Yellow,Process Streamlining,No
Procure to Pay (P2P),PO Creation,2,7,28.6,38.54,2,13.6,0.982,67.0,SAP ECC,Yellow,Process Streamlining,No
Procure to Pay (P2P),PO Creation,2,7,28.6,0.54,1,2.9,0.936,42.6,SAP S/4HANA,Yellow,Automate Manual Steps,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,0.13,1,15.6,0.611,86.7,Cloud Platform,Green,Exception Handling,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,12.67,1,14.9,0.924,48.7,SAP ECC,Green,Exception Handling,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,2.22,3,9.2,0.768,58.2,Legacy System,Green,Automate Manual Steps,No
Procure to Pay (P2P),Supplier Selection,3,7,42.9,2.21,2,40.3,0.989,64.6,Cloud Platform,Red,Process Streamlining,No
