compliance_check,audit_schedule,last_audit_days_ago,days_to_next_audit,compliance_status,last_audit_findings,open_findings,finding_closure_rate_pct,regulatory_authority,risk_level,estimated_remediation_days,gxp_impact_area,transformation_dependency
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,45,117,Compliant,0,0,100.0,FDA,Low,0,All,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,56,9,Due Soon,0,0,100.0,EMA,High,0,Data Integrity,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,78,127,Compliant,0,1,-300.0,EMA,Low,3,Process,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,350,53,Scheduled,1,1,63.6,EMA,Medium,6,All,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,331,14,Due Soon,2,2,61.9,FDA,High,2,Data Integrity,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Annual,119,11,Due Soon,13,3,90.8,PMDA,High,3,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,331,83,Compliant,6,2,86.9,PMDA,Low,26,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,235,7,Due Soon,3,1,87.1,PMDA,High,0,Process,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,134,21,Due Soon,1,0,100.0,EMA,High,0,All,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,76,6,Due Soon,1,5,-81.8,PMDA,High,0,Data Integrity,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,83,158,Compliant,3,0,100.0,PMDA,Low,0,Quality,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,122,41,Scheduled,0,1,-300.0,FDA,Medium,1,Manufacturing,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,226,2,Due Soon,10,0,100.0,PMDA,High,0,Data Integrity,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,363,143,Compliant,0,0,100.0,FDA,Low,0,Data Integrity,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,230,95,Compliant,1,0,100.0,EMA,Low,0,Process,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Annual,208,12,Due Soon,2,1,81.0,Multiple,High,0,Quality,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,3,19,Due Soon,0,2,-700.0,PMDA,High,6,Data Integrity,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,342,73,Compliant,1,1,63.6,EMA,Low,12,Process,Process Automation
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,58,88,Compliant,4,2,80.5,Multiple,Low,2,Manufacturing,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,158,1,Due Soon,0,0,100.0,FDA,High,0,All,None
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,183,114,Compliant,5,0,100.0,FDA,Low,0,Data Integrity,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,299,3,Due Soon,2,1,81.0,EMA,High,6,Data Integrity,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Annual,276,42,Scheduled,0,0,100.0,Multiple,Medium,0,Manufacturing,None
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,252,6,Due Soon,0,0,100.0,PMDA,High,0,Process,None
FDA 21 CFR 211 - General Manufacturing Controls,Continuous,342,0,Due Soon,0,1,-300.0,PMDA,High,22,All,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,198,11,Due Soon,3,1,87.1,PMDA,High,6,Manufacturing,Data Governance
FDA 21 CFR 211 - General Manufacturing Controls,Quarterly,158,44,Scheduled,0,0,100.0,Multiple,Medium,0,Process,eBR Implementation
FDA 21 CFR 211 - General Manufacturing Controls,Semi-Annual,213,113,Compliant,1,2,27.3,Multiple,Low,32,Data Integrity,System Upgrade
FDA 21 CFR 211 - General Manufacturing Controls,Monthly,213,23,Due Soon,1,0,100.0,EMA,High,0,Process,None
FDA 21 CFR 211 - General Manufacturing Controls,Annual,107,73,Compliant,1,0,100.0,PMDA,Low,0,All,None
